,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
4477,0.0,0.0,0.0,0.0,6.0,364.5,0.07777777799999999,0.072222222,0.0,0.6,May,3,2,4,3,Returning_Visitor,False,0
12098,4.0,495.16666669999995,0.0,0.0,29.0,988.2595238,0.006451613,0.009677419,0.0,0.0,Dec,1,1,1,2,New_Visitor,False,0
11881,0.0,0.0,0.0,0.0,20.0,676.1666667000001,0.0,0.025,0.0,0.0,Nov,2,2,3,2,Returning_Visitor,False,0
5553,0.0,0.0,0.0,0.0,11.0,287.5,0.0,0.027272727000000004,0.0,0.0,Oct,2,4,2,1,Returning_Visitor,False,0
7388,2.0,56.4,0.0,0.0,45.0,3166.333333,0.0,0.004891304,4.859624751,0.0,Aug,2,2,2,1,Returning_Visitor,True,0
4641,3.0,99.0,0.0,0.0,32.0,886.9583332999998,0.00625,0.0125,58.105625,0.0,May,1,1,3,4,Returning_Visitor,False,0
10688,0.0,0.0,0.0,0.0,9.0,470.0,0.0375,0.066666667,0.0,0.0,Dec,2,4,1,1,Returning_Visitor,False,0
11149,0.0,0.0,0.0,0.0,13.0,524.0,0.0,0.016666667,45.4642609,0.0,Nov,2,4,9,8,New_Visitor,True,1
7669,16.0,381.67312169999997,3.0,199.4,86.0,1618.40328,0.015067698000000001,0.022043153,3.8852335669999998,0.0,Jul,3,2,8,4,Returning_Visitor,False,1
4972,0.0,0.0,0.0,0.0,4.0,47.0,0.1,0.15,0.0,0.0,May,2,2,3,3,Returning_Visitor,False,0
6098,0.0,0.0,0.0,0.0,94.0,9836.068333,0.007446809,0.028191489,0.0,0.0,Sep,2,2,1,13,Returning_Visitor,False,0
10373,1.0,11.0,0.0,0.0,26.0,651.0666667,0.0,0.016666667,0.0,0.0,Nov,4,2,1,3,Returning_Visitor,False,0
9123,0.0,0.0,2.0,13.5,38.0,531.0369048,0.0,0.027916667000000003,0.0,0.0,Dec,4,2,1,3,Returning_Visitor,False,0
2377,0.0,0.0,0.0,0.0,5.0,210.0,0.16,0.173333333,0.0,0.4,May,1,1,1,3,Returning_Visitor,False,0
8159,3.0,19.25,0.0,0.0,8.0,713.5833332999999,0.0,0.046969697000000005,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,True,0
12042,5.0,479.25,2.0,81.0,41.0,1355.483333,0.0,0.007142857,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,True,0
3405,1.0,0.0,0.0,0.0,90.0,5621.599206,0.0,0.013068182,2.099045455,0.0,May,2,2,7,2,Returning_Visitor,False,0
6114,0.0,0.0,0.0,0.0,10.0,155.9,0.02,0.04,0.0,0.0,Jul,2,2,6,20,Returning_Visitor,False,0
8739,3.0,135.5,0.0,0.0,30.0,2040.1666670000002,0.0,0.022727273,4.350513745,0.0,Dec,2,2,8,2,Returning_Visitor,False,1
9478,0.0,0.0,0.0,0.0,7.0,130.0,0.057142857000000005,0.085714286,0.0,0.0,Nov,2,5,9,10,Returning_Visitor,True,0
5785,0.0,0.0,0.0,0.0,10.0,274.3,0.0,0.06,0.0,0.0,June,2,2,4,3,Returning_Visitor,False,0
10575,0.0,0.0,0.0,0.0,30.0,1643.958333,0.02,0.075555556,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,0
10269,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,1,1,3,2,Returning_Visitor,False,0
8563,1.0,0.0,1.0,80.16666667,29.0,759.75,0.0,0.019354839,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,0
6735,0.0,0.0,0.0,0.0,28.0,2102.75,0.058928571,0.078333333,0.0,0.0,Jul,3,2,3,13,Returning_Visitor,False,0
3316,1.0,20.0,0.0,0.0,8.0,268.0,0.0,0.025925926000000002,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,0
1303,3.0,960.0,0.0,0.0,10.0,1218.0,0.0,0.018181818,0.0,0.0,Mar,2,5,1,2,New_Visitor,False,0
5467,4.0,204.2,0.0,0.0,31.0,652.3766667,0.012121212,0.016161616,0.0,0.0,Nov,1,1,6,1,Returning_Visitor,False,0
5928,5.0,43.325,1.0,295.4,20.0,675.6846244,0.026634769,0.049669967,0.0,0.0,Jul,1,1,4,2,Returning_Visitor,False,0
4047,0.0,0.0,0.0,0.0,16.0,994.5757576,0.0375,0.034583333,0.0,0.6,May,1,1,1,3,Returning_Visitor,False,0
5538,1.0,5.066666667,0.0,0.0,32.0,441.60454550000003,0.0,0.00625,0.0,0.0,Sep,2,2,6,3,New_Visitor,False,0
4742,5.0,75.89285714,0.0,0.0,51.0,4522.409524000001,0.015757576000000002,0.042922077999999995,3.229518182,1.0,May,2,2,6,2,Returning_Visitor,True,0
8027,0.0,0.0,2.0,116.0,11.0,419.75,0.0,0.038461537999999997,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,0
8412,14.0,173.55,0.0,0.0,164.0,4155.746883,0.002514286,0.01343784,13.76473644,0.0,Nov,2,2,3,2,Returning_Visitor,False,1
2714,0.0,0.0,0.0,0.0,5.0,131.5,0.04,0.093333333,0.0,0.6,May,1,1,1,1,Returning_Visitor,False,0
11382,3.0,19.0,0.0,0.0,120.0,3013.1169170000003,0.001680672,0.0074077480000000005,14.18391563,0.0,Nov,2,5,1,2,Returning_Visitor,False,1
7798,7.0,94.83333333,2.0,38.9,262.0,6774.82,0.00042540599999999997,0.013069803,0.0,0.0,June,2,5,1,4,Returning_Visitor,False,0
8424,0.0,0.0,0.0,0.0,140.0,2404.831006,0.001428571,0.003142857,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,0
3928,0.0,0.0,0.0,0.0,6.0,114.0,0.0,0.033333333,0.0,0.0,May,2,2,3,1,Returning_Visitor,True,0
11698,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Dec,2,2,5,1,Returning_Visitor,False,0
8886,0.0,0.0,0.0,0.0,12.0,465.25,0.0,0.016666667,0.0,0.0,Dec,3,2,6,2,Returning_Visitor,True,0
11965,13.0,442.6,6.0,164.625,107.0,4928.927389,0.016774043,0.028505395,1.451867861,0.0,Nov,3,2,1,2,Returning_Visitor,False,1
12277,0.0,0.0,0.0,0.0,2.0,40.5,0.0,0.1,0.0,0.0,Dec,1,1,3,3,Other,False,0
5504,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Oct,1,1,8,1,Returning_Visitor,True,0
8918,0.0,0.0,0.0,0.0,63.0,3301.222222,0.006451613,0.03016129,0.0,0.0,Nov,2,1,3,1,Returning_Visitor,True,0
3547,0.0,0.0,0.0,0.0,7.0,855.0,0.0,0.028571429,0.0,0.0,May,2,2,1,1,Returning_Visitor,False,0
2919,2.0,19.0,0.0,0.0,23.0,1875.744689,0.028571429,0.041156463,0.0,0.0,May,3,2,4,1,Returning_Visitor,False,0
6613,16.0,314.505,0.0,0.0,37.0,1048.663333,0.0,0.008695652,87.25396293,0.0,Nov,1,1,3,2,New_Visitor,False,1
467,3.0,97.0,0.0,0.0,15.0,482.0,0.0125,0.025,0.0,0.0,Mar,2,2,6,1,Returning_Visitor,False,0
6529,2.0,31.6,0.0,0.0,4.0,75.6,0.0,0.028571429,0.0,0.0,Aug,2,2,7,4,Returning_Visitor,False,0
3286,3.0,112.0,0.0,0.0,20.0,1187.5,0.0,0.016666667,26.8752,0.0,May,2,2,1,4,Returning_Visitor,False,0
8233,3.0,68.58333333,0.0,0.0,72.0,1781.1916670000003,0.008219178,0.015174871000000001,0.0,0.0,Nov,1,1,1,8,Returning_Visitor,True,0
6101,2.0,9.0,0.0,0.0,18.0,558.1933333,0.0,0.011111111000000002,0.0,0.0,Aug,2,2,3,1,Returning_Visitor,False,0
106,0.0,0.0,1.0,0.0,9.0,215.0,0.04444444400000001,0.074074074,0.0,0.8,Feb,4,1,1,3,Returning_Visitor,False,0
3574,0.0,0.0,9.0,1779.1666670000002,12.0,1886.5,0.0070175440000000006,0.019298246,0.0,0.6,May,2,2,6,3,New_Visitor,False,0
10886,1.0,19.0,0.0,0.0,21.0,702.125,0.01,0.018333333,0.0,0.0,Nov,2,4,1,1,Returning_Visitor,False,0
9267,2.0,30.0,1.0,0.0,24.0,567.25,0.0,0.011538462,0.0,0.0,Dec,2,5,1,2,Returning_Visitor,False,0
6794,2.0,29.86666667,2.0,99.6,13.0,534.4833333,0.0,0.004166667,0.0,0.0,Oct,1,1,2,2,New_Visitor,False,0
411,2.0,190.0,1.0,0.0,37.0,758.4428571000001,0.0,0.010526316,0.0,0.0,Mar,1,1,6,1,Returning_Visitor,True,0
7623,8.0,82.85,0.0,0.0,84.0,2289.079157,0.0025568179999999998,0.013110506000000001,0.0,0.0,June,1,1,7,3,Returning_Visitor,False,0
8012,1.0,4.0,0.0,0.0,33.0,947.4166667000002,0.012121212,0.045165945,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,True,0
10423,0.0,0.0,0.0,0.0,10.0,371.5,0.0,0.04,0.0,0.0,Nov,2,2,4,10,Returning_Visitor,False,0
9720,17.0,323.36363639999996,0.0,0.0,45.0,1534.825143,0.002678571,0.020699598,7.180348301,0.0,Nov,1,1,3,10,Returning_Visitor,False,1
3858,0.0,0.0,0.0,0.0,17.0,65.0,0.047058824000000006,0.07647058799999999,0.0,0.8,May,2,2,1,3,Returning_Visitor,False,0
5579,2.0,13.0,0.0,0.0,6.0,47.13333333,0.04,0.06,20.94544525,0.0,Nov,1,2,2,4,Returning_Visitor,False,0
2751,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,1,1,2,3,New_Visitor,False,0
11673,0.0,0.0,0.0,0.0,8.0,185.0,0.025,0.033333333,0.0,0.0,Dec,3,2,3,10,Returning_Visitor,False,0
3671,0.0,0.0,0.0,0.0,2.0,262.0,0.1,0.15,0.0,0.0,May,3,2,1,4,Returning_Visitor,False,0
5332,0.0,0.0,0.0,0.0,9.0,110.5,0.0,0.05,0.0,0.6,May,2,4,6,3,Returning_Visitor,False,0
4770,2.0,86.0,0.0,0.0,18.0,754.9166667000001,0.0,0.005555556,0.0,0.0,May,3,2,6,2,New_Visitor,False,0
6029,6.0,288.0,0.0,0.0,16.0,475.3,0.010526316,0.036842105,0.0,0.0,Sep,2,2,2,13,Returning_Visitor,False,0
9165,1.0,76.75,0.0,0.0,33.0,1356.458333,0.0,0.020833333,0.0,0.0,Nov,2,2,1,10,Returning_Visitor,True,0
9737,9.0,177.33333330000002,0.0,0.0,70.0,2346.220238,0.0028985509999999996,0.003457557,0.0,0.0,Nov,1,1,5,3,Returning_Visitor,False,0
11639,3.0,91.5,4.0,333.8333333,132.0,3041.676452,0.011764706000000002,0.030932814,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,1
1862,0.0,0.0,0.0,0.0,7.0,232.66666669999998,0.0,0.014285714,0.0,0.0,Mar,2,2,6,2,Returning_Visitor,False,0
9918,1.0,20.0,2.0,39.5,156.0,8613.257312,0.006289308,0.015117318999999999,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,True,0
9297,5.0,85.5,0.0,0.0,30.0,2188.2583329999998,0.0,0.0078125,45.58268367,0.0,Nov,2,2,2,8,New_Visitor,True,1
5100,3.0,53.0,2.0,7.0,24.0,678.0,0.0,0.014814815,20.13555556,0.0,May,2,5,3,2,Returning_Visitor,False,1
2360,2.0,39.5,1.0,161.0,34.0,1406.209524,0.010810811000000002,0.021212121,23.60518919,0.2,May,2,2,8,4,Returning_Visitor,False,1
8000,0.0,0.0,0.0,0.0,14.0,275.0,0.0,0.023076923,0.0,0.0,Nov,2,2,9,20,Returning_Visitor,True,0
2133,1.0,92.0,0.0,0.0,117.0,13158.66667,0.006896551999999999,0.041810345,0.0,0.0,May,2,6,4,4,Returning_Visitor,True,0
9587,1.0,34.5,0.0,0.0,24.0,819.15,0.0,0.001449275,0.0,0.0,Dec,1,1,2,2,Returning_Visitor,False,0
2406,5.0,118.7,1.0,26.0,41.0,1019.293939,0.049481480999999994,0.05837037,0.0,1.0,May,3,2,7,3,Returning_Visitor,True,0
29,1.0,6.0,1.0,0.0,45.0,1582.75,0.043478261,0.050821255999999995,54.17976426,0.4,Feb,3,2,1,1,Returning_Visitor,False,0
7724,2.0,98.6,0.0,0.0,11.0,1200.2,0.014285714,0.028571429,18.41056693,0.0,Nov,2,6,2,1,Returning_Visitor,True,0
4407,0.0,0.0,0.0,0.0,19.0,421.6,0.068421053,0.07719298200000001,6.624947368,0.6,May,3,2,2,13,Returning_Visitor,False,1
3387,0.0,0.0,0.0,0.0,24.0,530.0,0.0,0.01,0.0,0.0,May,2,6,3,4,Returning_Visitor,True,0
6159,8.0,116.96071429999999,4.0,225.3666667,42.0,539.2273809999999,0.015510204,0.011281178999999999,0.0,0.0,Jul,1,1,1,4,Returning_Visitor,False,1
568,0.0,0.0,0.0,0.0,3.0,27.0,0.066666667,0.133333333,0.0,0.0,Mar,2,2,1,13,Returning_Visitor,False,0
5459,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.1,0.0,0.0,June,2,2,7,1,Returning_Visitor,False,0
5706,1.0,46.4,0.0,0.0,13.0,118.26666670000002,0.0,0.014285714,0.0,0.0,Jul,1,2,1,4,Returning_Visitor,True,0
1245,3.0,81.0,1.0,0.0,28.0,499.66666669999995,0.0,0.022222222000000003,0.0,0.0,Mar,2,6,1,1,Returning_Visitor,False,0
8480,1.0,25.5,0.0,0.0,49.0,860.2083332999998,0.004081633,0.012380951999999999,0.0,0.0,Dec,2,2,2,10,Returning_Visitor,True,0
5843,3.0,25.6,0.0,0.0,10.0,327.7733333,0.0,0.013095238,11.78466261,0.0,Jul,1,1,1,5,Returning_Visitor,False,1
1458,2.0,32.0,1.0,70.0,16.0,504.08333330000005,0.005714286,0.019047619,9.543060317,0.0,Mar,2,2,3,8,Returning_Visitor,False,0
9785,5.0,92.5625,0.0,0.0,2.0,99.5,0.0,0.022222222000000003,0.0,0.0,Nov,2,2,1,8,New_Visitor,True,1
1835,3.0,31.6,0.0,0.0,17.0,372.8,0.013333333000000001,0.026428571,2.3976,0.0,Mar,3,2,7,1,Returning_Visitor,False,0
316,0.0,0.0,0.0,0.0,2.0,96.0,0.0,0.1,0.0,0.0,Mar,4,1,1,1,Returning_Visitor,False,0
108,0.0,0.0,0.0,0.0,2.0,114.0,0.05,0.066666667,0.0,0.8,Feb,3,3,1,3,Returning_Visitor,False,0
3458,0.0,0.0,0.0,0.0,11.0,720.5,0.0,0.045454545,0.0,0.0,May,6,2,2,2,Returning_Visitor,False,0
4879,1.0,178.0,0.0,0.0,3.0,110.0,0.0,0.016666667,0.0,0.2,May,3,2,3,4,Returning_Visitor,False,0
9757,0.0,0.0,0.0,0.0,8.0,232.5,0.0,0.05,0.0,0.0,Nov,4,2,1,2,New_Visitor,False,0
11809,0.0,0.0,0.0,0.0,4.0,302.0,0.0,0.04,46.06937312,0.0,Dec,8,13,9,20,Other,False,1
6561,1.0,169.2,0.0,0.0,24.0,1433.163333,0.008333333,0.006944444,0.0,0.0,Aug,3,2,3,4,Returning_Visitor,True,1
9257,4.0,56.5,2.0,8.0,9.0,198.25,0.018181818,0.036363636,0.0,0.0,Nov,1,8,3,6,Returning_Visitor,True,0
4907,4.0,40.5,0.0,0.0,32.0,593.5071429,0.0,0.028787879,0.0,0.0,May,3,2,6,3,Returning_Visitor,False,0
11109,2.0,25.0,0.0,0.0,7.0,181.75,0.0,0.022222222000000003,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,0
12059,2.0,20.15,0.0,0.0,60.0,1521.15,0.003333333,0.015277778,16.43637285,0.0,Nov,2,4,1,2,Returning_Visitor,False,1
7530,0.0,0.0,0.0,0.0,45.0,1970.0,0.019259259,0.037925926,0.0,0.0,June,4,1,3,3,Returning_Visitor,False,0
2955,0.0,0.0,0.0,0.0,7.0,384.5,0.0,0.028571429,0.0,0.0,May,2,4,1,5,Returning_Visitor,False,0
2973,0.0,0.0,2.0,13.0,4.0,145.0,0.0,0.04,0.0,0.0,May,1,8,4,6,Returning_Visitor,True,0
10614,0.0,0.0,0.0,0.0,7.0,202.25,0.0,0.028571429,0.0,0.0,Dec,1,1,2,2,Returning_Visitor,False,0
11099,11.0,392.5,0.0,0.0,206.0,8437.099188,0.0,0.006257146999999999,0.0,0.0,Nov,2,4,1,2,Returning_Visitor,False,0
11133,1.0,12.0,0.0,0.0,43.0,851.8857142999999,0.0,0.009883721,11.65996434,0.0,Nov,2,2,1,2,Returning_Visitor,False,1
8466,1.0,27.9,0.0,0.0,64.0,3875.427778,0.0,0.019583333,5.698585477000001,0.0,Nov,2,2,1,2,Returning_Visitor,False,0
11422,2.0,113.5,0.0,0.0,37.0,1344.340476,0.0,0.005405405,11.77908986,0.0,Dec,2,2,3,2,New_Visitor,False,1
10159,1.0,13.83333333,1.0,0.0,200.0,8336.039583,0.004207921,0.017597513000000002,3.730318306,0.0,Nov,2,5,4,1,Returning_Visitor,False,1
10897,0.0,0.0,3.0,60.5,74.0,3105.365207,0.015789473999999998,0.022261905,0.0,0.0,Nov,1,2,5,2,Returning_Visitor,False,0
10219,1.0,120.5,0.0,0.0,75.0,1677.805952,0.006578947,0.023128655,0.0,0.0,Dec,2,2,1,1,Returning_Visitor,False,0
10740,0.0,0.0,0.0,0.0,39.0,935.0972222000001,0.005128205,0.015042735,0.0,0.0,Dec,2,2,8,2,Returning_Visitor,False,0
3717,2.0,46.0,0.0,0.0,13.0,195.0,0.0,0.008333333,0.0,0.0,May,2,2,1,4,Returning_Visitor,False,0
973,0.0,0.0,0.0,0.0,9.0,321.0,0.033333333,0.085185185,0.0,0.0,Mar,2,5,5,1,Returning_Visitor,False,0
10723,2.0,48.5,0.0,0.0,5.0,396.1666667,0.0,0.008333333,0.0,0.0,Dec,3,2,5,10,Returning_Visitor,False,0
9453,0.0,0.0,0.0,0.0,19.0,1056.658333,0.005882353000000001,0.041176471,0.0,0.0,Dec,1,1,1,8,Returning_Visitor,False,0
7257,2.0,11.0,0.0,0.0,36.0,474.30666669999994,0.0,0.015714286,47.65907425,0.0,June,4,1,2,4,Returning_Visitor,False,0
3297,1.0,26.0,0.0,0.0,11.0,345.1666667,0.022222222000000003,0.008888889,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,0
4959,0.0,0.0,0.0,0.0,63.0,1021.0,0.0265625,0.059895832999999996,0.0,0.8,May,2,2,1,3,Returning_Visitor,False,0
4127,0.0,0.0,0.0,0.0,11.0,500.0,0.0,0.02,44.388000000000005,0.0,May,2,2,3,2,Returning_Visitor,False,1
8797,2.0,13.0,0.0,0.0,3.0,200.0,0.0,0.05,0.0,0.0,Dec,2,2,1,8,New_Visitor,False,0
1374,0.0,0.0,0.0,0.0,24.0,854.3333332999998,0.0,0.008333333,0.0,0.0,Mar,4,1,1,10,Returning_Visitor,False,0
7393,2.0,94.6,1.0,108.8,42.0,1157.783333,0.0,0.032222222,0.0,0.0,Oct,2,4,1,1,Returning_Visitor,True,0
9988,0.0,0.0,0.0,0.0,13.0,1314.083333,0.0,0.008333333,103.0610827,0.0,Dec,8,13,9,20,Other,False,1
9294,2.0,67.5,0.0,0.0,45.0,1660.0,0.022727273,0.0375,0.0,0.0,Nov,2,5,1,1,Returning_Visitor,False,0
8866,5.0,231.75,0.0,0.0,30.0,805.7833333,0.0,0.0203125,0.0,0.0,Dec,2,2,4,2,Returning_Visitor,False,0
5611,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.1,0.0,0.0,Aug,2,2,1,1,Returning_Visitor,False,0
10,0.0,0.0,0.0,0.0,3.0,395.0,0.0,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,False,0
3485,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.6,May,2,4,7,6,Returning_Visitor,False,0
4335,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.1,0.0,0.0,May,2,2,2,3,Returning_Visitor,False,0
1426,1.0,10.0,0.0,0.0,23.0,660.8166667,0.0,0.025,0.0,0.0,Mar,2,4,1,3,Returning_Visitor,True,0
9956,10.0,132.7222222,1.0,104.0,103.0,3608.3467520000004,0.0,0.007905605,14.69960115,0.0,Nov,2,10,7,2,Returning_Visitor,False,0
6210,0.0,0.0,0.0,0.0,101.0,2611.747653,0.004356436,0.029287373,0.0,0.0,Oct,2,2,1,1,Returning_Visitor,False,0
11132,0.0,0.0,0.0,0.0,7.0,133.5,0.0,0.025,0.0,0.0,Nov,2,2,6,6,Other,False,0
718,0.0,0.0,0.0,0.0,4.0,41.0,0.05,0.1,0.0,0.0,Mar,3,2,2,1,Returning_Visitor,False,0
8703,0.0,0.0,2.0,0.0,99.0,2622.600281,0.022000000000000002,0.028519936,0.0,0.0,Nov,3,2,2,13,Returning_Visitor,False,1
8015,1.0,6.5,0.0,0.0,10.0,511.25,0.0,0.0074074069999999995,7.848538777999999,0.0,Dec,2,5,3,8,New_Visitor,True,1
8842,5.0,346.25,0.0,0.0,3.0,1692.25,0.0,0.014285714,0.0,0.0,Dec,2,2,9,2,New_Visitor,False,0
11400,1.0,10.5,3.0,264.75,195.0,10044.75756,0.0050251259999999996,0.023180221,0.0,0.0,Dec,2,2,1,2,Returning_Visitor,False,0
735,0.0,0.0,1.0,81.0,82.0,3214.020563,0.0,0.007723577,4.667079268,0.0,Mar,3,3,2,10,Returning_Visitor,False,1
6177,0.0,0.0,0.0,0.0,9.0,281.5,0.0,0.008333333,0.0,0.0,Oct,4,2,9,7,Returning_Visitor,False,0
11172,2.0,14.0,2.0,189.0,134.0,6732.124414,0.008018648,0.025030224,0.0,0.0,Nov,1,8,3,11,Returning_Visitor,False,0
10896,2.0,18.0,0.0,0.0,49.0,1550.916667,0.016,0.041333333,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,0
10737,0.0,0.0,0.0,0.0,18.0,1456.916667,0.005882353000000001,0.030392157000000003,0.0,0.0,Dec,3,3,3,2,Returning_Visitor,False,0
2140,9.0,175.93333330000002,0.0,0.0,28.0,717.2190476,0.005882353000000001,0.017058824,0.0,1.0,May,2,2,5,4,Returning_Visitor,True,0
6927,5.0,62.6,0.0,0.0,15.0,272.5,0.0,0.011111111000000002,0.0,0.0,Oct,1,1,1,2,New_Visitor,True,0
11608,1.0,15.0,0.0,0.0,18.0,343.8333333,0.0,0.0125,38.3399435,0.0,Dec,2,13,9,20,New_Visitor,False,1
909,4.0,162.0,3.0,75.5,4.0,158.5,0.0,0.016666667,0.0,0.0,Mar,2,4,1,10,Returning_Visitor,False,0
2627,2.0,48.0,0.0,0.0,24.0,543.75,0.016,0.0408,0.0,0.8,May,2,2,3,2,Returning_Visitor,False,0
4773,0.0,0.0,0.0,0.0,4.0,880.0,0.0,0.05,0.0,0.0,May,2,2,7,1,Returning_Visitor,True,0
496,8.0,359.0,2.0,954.0,14.0,336.5,0.0,0.005555556,0.0,0.0,Mar,3,2,7,9,Returning_Visitor,True,0
10312,4.0,296.75,0.0,0.0,10.0,183.70833330000002,0.015384615,0.026666667,0.0,0.0,Dec,1,1,3,2,Returning_Visitor,False,0
7204,1.0,47.4,0.0,0.0,5.0,238.2,0.0,0.033333333,0.0,0.0,Sep,2,2,5,4,New_Visitor,True,0
5601,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,June,3,2,7,13,Returning_Visitor,False,0
10319,8.0,171.75,0.0,0.0,32.0,486.66666669999995,0.0,0.005555556,0.0,0.0,Dec,4,2,1,2,New_Visitor,False,0
8541,0.0,0.0,2.0,11.0,1.0,0.0,0.066666667,0.133333333,0.0,0.0,Nov,1,1,1,2,Returning_Visitor,False,0
1206,0.0,0.0,0.0,0.0,12.0,468.0,0.016666667,0.033333333,0.0,0.0,Mar,4,1,4,3,Returning_Visitor,False,0
10096,0.0,0.0,0.0,0.0,10.0,305.0,0.0,0.02,0.0,0.0,Nov,2,2,1,8,Returning_Visitor,False,0
4536,3.0,118.0,0.0,0.0,16.0,859.1666667000002,0.0,0.014814815,9.991666667,0.0,May,3,2,2,2,Returning_Visitor,False,0
12253,0.0,0.0,0.0,0.0,3.0,178.25,0.0,0.066666667,0.0,0.0,Nov,3,2,1,10,Returning_Visitor,False,0
1195,2.0,152.83333330000002,0.0,0.0,20.0,791.6666667000001,0.011111111000000002,0.016666667,41.35007203,0.0,Mar,1,1,1,2,New_Visitor,False,1
9593,4.0,736.0,1.0,9.0,99.0,2171.547149,0.016281268999999998,0.029507982000000002,4.495585092,0.0,Nov,3,2,4,13,Returning_Visitor,True,0
